"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.968910375E0,1.321751404E-1,3.479514313E0,9.974657593E0,1.056495548E1
1.978852375E0,6.307882690E-1,3.925886078E0,9.599986725E0,1.039087198E1
1.988794375E0,9.922865295E-1,4.282594299E0,9.109007721E0,1.011431007E1
1.998736375E0,1.062041473E0,4.413871307E0,8.668773193E0,9.785592506E0
2.008678375E0,8.351133728E-1,4.285737762E0,8.408314819E0,9.474424553E0
2.018620375E0,2.865042114E-1,4.091292114E0,8.545729065E0,9.478936706E0
2.028562375E0,-4.122427368E-1,3.857029266E0,9.138047333E0,9.927261853E0
2.038504375E0,-9.394464111E-1,3.265609131E0,9.947264557E0,1.051165233E1
2.048445375E0,-1.115031281E0,2.627486115E0,1.089988358E1,1.126740609E1
2.058387375E0,-8.656498718E-1,2.245929565E0,1.156105865E1,1.180896382E1
2.068329375E0,-4.013154602E-1,2.054777069E0,1.160117523E1,1.178857199E1
2.078271375E0,6.436614990E-3,2.137554932E0,1.124955643E1,1.145083850E1
2.088213375E0,4.102967834E-1,2.438279572E0,1.054272629E1,1.082878702E1
2.098155375E0,5.322930908E-1,2.868335266E0,9.589358826E0,1.002329715E1
2.108097375E0,4.355941772E-1,3.272494812E0,8.666078796E0,9.273612365E0
2.118039375E0,2.046244812E-1,3.540138245E0,8.102500763E0,8.844488034E0
2.127981375E0,-1.321751404E-1,3.789369965E0,8.023614807E0,8.874412069E0
2.137923375E0,-3.727249146E-2,3.913162537E0,8.362809448E0,9.233136636E0
2.147864375E0,6.586303711E-3,3.844006348E0,8.807983704E0,9.610255205E0
2.157806375E0,1.327738953E-1,3.628903656E0,9.222322083E0,9.911498133E0
2.167748375E0,2.519261169E-1,3.456462250E0,9.517957306E0,1.012926993E1
2.177690375E0,3.474275208E-1,3.262016602E0,9.574090576E0,1.012050733E1
2.187632375E0,3.168910217E-1,3.068319397E0,9.415719910E0,9.908117140E0
2.197574375E0,2.859054565E-2,2.911146240E0,9.290729828E0,9.736182547E0
2.207516375E0,-3.766168213E-1,2.842289429E0,9.131910095E0,9.571427867E0
2.217458375E0,-7.075785828E-1,2.929108887E0,8.983119507E0,9.475061076E0
2.227400375E0,-9.768685913E-1,2.892435150E0,8.865613861E0,9.376543205E0
2.237342375E0,-1.184337158E0,3.001258850E0,8.727900238E0,9.305184133E0
2.247283375E0,-1.237626343E0,3.477568359E0,8.695118408E0,9.446178317E0
2.257225375E0,-1.216370544E0,3.658841400E0,8.809630280E0,9.616457942E0
2.267167375E0,-1.081650696E0,3.647165680E0,8.903634796E0,9.682277537E0
2.277109375E0,-9.539662170E-1,3.653452606E0,8.811276855E0,9.586259297E0
2.287051375E0,-9.071136475E-1,3.754193115E0,8.547225952E0,9.379333270E0
2.296993375E0,-9.385482788E-1,3.775448914E0,8.245752869E0,9.117418919E0
2.306935375E0,-9.776170349E-1,3.662433929E0,8.036787415E0,8.885893838E0
2.316877375E0,-9.683363342E-1,3.731141052E0,7.934400330E0,8.821212921E0
2.326819375E0,-8.640032959E-1,3.744912415E0,7.919281769E0,8.802607251E0
2.336761375E0,-7.232958984E-1,3.706592102E0,8.017178192E0,8.862117587E0
2.346703375E0,-7.283853149E-1,3.504662018E0,8.099357300E0,8.855099643E0
2.356645375E0,-7.726931763E-1,3.266956329E0,8.131839752E0,8.797549440E0
2.366586375E0,-6.367758179E-1,3.494932251E0,8.356223145E0,9.080005513E0
2.376528375E0,-5.610333252E-1,3.809877319E0,8.655151520E0,9.473202806E0
2.386470375E0,-4.445755005E-1,4.009861450E0,8.778195648E0,9.660918955E0
2.396412375E0,-3.450325012E-1,4.094136200E0,8.748706970E0,9.665447341E0
2.406354375E0,-3.622467041E-1,4.074227600E0,8.669671326E0,9.586122997E0
2.416296375E0,-4.040098572E-1,4.056714020E0,8.708440704E0,9.615461097E0
2.426238375E0,-4.321513367E-1,4.021836548E0,8.933123474E0,9.806254076E0
2.436180375E0,-5.658233643E-1,3.898493042E0,9.039402466E0,9.860486855E0
2.446122375E0,-6.393205261E-1,3.780388641E0,9.099577332E0,9.874329174E0
2.456064375E0,-7.494914246E-1,3.782035217E0,9.218430176E0,9.992246128E0
2.466006375E0,-9.195378113E-1,3.837420044E0,9.361981659E0,1.015962809E1
2.475947375E0,-1.163081360E0,3.865411835E0,9.420210571E0,1.024863572E1
2.485889375E0,-1.427281952E0,3.862418060E0,9.460925903E0,1.031816486E1
