"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.131410708E0,-8.580606537E0,-2.026186523E0,3.987707520E-1,8.825602443E0
1.141351708E0,-9.082063751E0,-2.092348938E0,1.257385254E-2,9.319976618E0
1.151291708E0,-9.017697601E0,-2.042951660E0,6.339317322E-1,9.267922688E0
1.161232708E0,-8.563691711E0,-2.067799988E0,1.667981415E0,8.966313318E0
1.171172708E0,-8.972341919E0,-2.568508759E0,2.385289764E0,9.632744366E0
1.181113708E0,-9.571396179E0,-3.354973297E0,2.724185028E0,1.050184054E1
1.191053708E0,-9.830507355E0,-3.954925690E0,2.560275879E0,1.090116162E1
1.200994708E0,-9.924960938E0,-4.256548462E0,2.046693878E0,1.099145169E1
1.210934708E0,-1.042312500E1,-4.187991028E0,1.620081024E0,1.134924958E1
1.220875708E0,-1.059661423E1,-4.002975769E0,1.792971497E0,1.146851319E1
1.230815708E0,-1.005129822E1,-3.793860626E0,2.222428436E0,1.097092350E1
1.240756708E0,-9.081165619E0,-3.495231628E0,2.165995789E0,9.968738681E0
1.250696708E0,-8.351732483E0,-3.211571503E0,1.897753601E0,9.146971942E0
1.260637708E0,-7.243437195E0,-3.072660370E0,1.678609314E0,8.045269006E0
1.270577708E0,-6.615343323E0,-3.232527924E0,1.519190826E0,7.517974782E0
1.280518708E0,-7.662266235E0,-4.099075928E0,9.187893677E-1,8.738244745E0
1.290458708E0,-8.001311188E0,-5.015769653E0,1.455124054E0,9.554910358E0
1.300399708E0,-8.061935120E0,-5.305866394E0,2.779869232E0,1.004363923E1
1.310339708E0,-1.001672012E1,-5.429509277E0,2.962639160E0,1.177248843E1
1.320280708E0,-1.154968231E1,-5.492079163E0,2.214794312E0,1.297934547E1
1.330220708E0,-1.073522598E1,-4.968168640E0,2.447859650E0,1.207972654E1
1.340161708E0,-9.271569672E0,-4.134552155E0,3.373385010E0,1.069748812E1
1.350101708E0,-8.374036102E0,-3.538491669E0,3.805236969E0,9.855213459E0
1.360042708E0,-8.276738434E0,-3.443439331E0,3.696862335E0,9.696827556E0
1.369982708E0,-8.669671326E0,-4.066892853E0,3.461401978E0,1.018254006E1
1.379923708E0,-8.994196472E0,-4.663552094E0,3.517086182E0,1.072446658E1
1.389863708E0,-9.089248810E0,-4.799020386E0,3.666625214E0,1.091279896E1
1.399804708E0,-8.860374756E0,-4.602329407E0,3.372786255E0,1.053866044E1
1.409744708E0,-8.207731934E0,-4.453538818E0,3.036136322E0,9.819317454E0
1.419685708E0,-6.941814423E0,-4.258195038E0,3.481759644E0,8.856842703E0
1.429625708E0,-5.540428619E0,-4.204157410E0,4.827760620E0,8.466319237E0
1.439566708E0,-4.998555450E0,-4.801265717E0,5.708529053E0,8.979143223E0
1.449506708E0,-7.213649139E0,-6.189478912E0,4.547842712E0,1.053704211E1
1.459447708E0,-1.006327332E1,-7.795040131E0,3.391796722E0,1.317332173E1
1.469387708E0,-1.352332809E1,-9.243428192E0,2.856509857E0,1.662771831E1
1.479328792E0,-1.541479477E1,-9.807604980E0,2.759062500E0,1.847748465E1
1.489268792E0,-1.492097168E1,-9.360933838E0,3.619024200E0,1.798220827E1
1.499209792E0,-1.349084564E1,-9.262887726E0,7.281458130E0,1.791155040E1
1.509149792E0,-1.069046906E1,-9.065448303E0,1.036414764E1,1.743227002E1
1.519090792E0,-8.012238464E0,-8.057444458E0,7.093748474E0,1.339550834E1
1.529030792E0,-6.818620605E0,-6.639443207E0,3.813320160E0,1.025266813E1
1.538971792E0,-5.876779175E0,-5.869294739E0,2.958747253E0,8.816991523E0
1.548911792E0,-5.129682770E0,-5.910159760E0,2.758314056E0,8.297706318E0
1.558852792E0,-5.106331329E0,-6.502927094E0,2.552641754E0,8.653245654E0
1.568792792E0,-5.345234528E0,-7.244634705E0,2.182461548E0,9.263876217E0
1.578733792E0,-5.614674225E0,-7.912096710E0,1.761536865E0,9.860469215E0
1.588673792E0,-6.124963074E0,-8.783734131E0,1.774110718E0,1.085433677E1
1.598614792E0,-6.375392303E0,-9.775421906E0,2.906954956E0,1.202725603E1
1.608554792E0,-6.157445526E0,-1.076695999E1,4.626279602E0,1.323797665E1
1.618495792E0,-5.939049683E0,-1.148082550E1,5.094056854E0,1.389356256E1
1.628435792E0,-5.741759949E0,-1.146091690E1,4.254452820E0,1.350632416E1
1.638376792E0,-5.463189240E0,-1.072968750E1,3.517984314E0,1.254387676E1
1.648316792E0,-5.317542114E0,-9.666298828E0,3.472029877E0,1.156583670E1
1.658257792E0,-5.039420471E0,-8.548722839E0,3.671115875E0,1.058080869E1
1.668197792E0,-4.999303894E0,-7.658673706E0,3.748804321E0,9.884424930E0
1.678138792E0,-4.809348907E0,-7.239694977E0,3.461701355E0,9.355554315E0
1.688078792E0,-4.506828003E0,-7.111262054E0,2.929258575E0,8.914151808E0
1.698019792E0,-4.214934998E0,-6.930438080E0,2.510728912E0,8.491195951E0
1.707959792E0,-4.223467255E0,-6.477180634E0,2.292931824E0,8.065301046E0
1.717900792E0,-4.107009430E0,-6.115682373E0,2.158361664E0,7.676432923E0
1.727840792E0,-4.178710327E0,-6.095025330E0,2.355352020E0,7.756199901E0
1.737781792E0,-4.399201813E0,-6.083798676E0,2.858755188E0,8.033558622E0
1.747721792E0,-4.485123138E0,-5.875282288E0,3.238964539E0,8.070078241E0
1.757662792E0,-4.310586090E0,-5.535339203E0,3.116369476E0,7.676776097E0
1.767602792E0,-4.109853516E0,-5.289550323E0,2.716850281E0,7.228520872E0
1.777543792E0,-3.889362030E0,-5.242548065E0,2.374063110E0,6.946050883E0
1.787483792E0,-3.656446381E0,-5.174290009E0,2.223476257E0,6.714664839E0
