"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.728059750E0,-3.552712097E0,-5.040318604E0,-3.332220612E0,7.009298758E0
2.738065750E0,-3.497776337E0,-4.482129364E0,-3.282224579E0,6.564824531E0
2.748072750E0,-3.248544617E0,-3.864513702E0,-3.361858978E0,6.065443436E0
2.758078750E0,-2.828667755E0,-3.253334656E0,-3.585493927E0,5.607255510E0
2.768085750E0,-2.324216766E0,-2.748584290E0,-3.578308868E0,5.075528892E0
2.778091750E0,-1.722767487E0,-2.468067627E0,-3.363206177E0,4.513362539E0
2.788097750E0,-1.220861206E0,-2.313738556E0,-3.048859863E0,4.017391524E0
2.798104750E0,-1.096469879E0,-2.135608978E0,-2.723286896E0,3.630339298E0
2.808110750E0,-1.100062408E0,-2.106419678E0,-2.364033966E0,3.351984152E0
2.818116750E0,-1.077758789E0,-2.369422760E0,-2.023791504E0,3.297189754E0
2.828123750E0,-1.304088135E0,-2.552342377E0,-1.661694489E0,3.313053885E0
2.838129750E0,-1.176852722E0,-2.603984985E0,-1.399589539E0,3.181913105E0
2.848136750E0,-1.072369995E0,-2.402354279E0,-1.318607941E0,2.942789559E0
2.858142750E0,-1.097368011E0,-1.978884888E0,-1.464554443E0,2.695388964E0
2.868148750E0,-9.517208862E-1,-1.264420624E0,-1.604663086E0,2.253769238E0
2.878155750E0,-5.581892395E-1,-5.062472534E-1,-1.865121460E0,2.011601245E0
2.888161750E0,1.600172424E-1,3.890409851E-1,-1.672472076E0,1.724564076E0
2.898167750E0,3.589535522E-1,1.631307678E0,-1.226549377E0,2.072302046E0
2.908174750E0,1.936972046E-1,2.736758881E0,-8.936416626E-1,2.885474519E0
2.918180750E0,2.781216431E-1,3.511847076E0,-8.744815063E-1,3.629757491E0
2.928187750E0,3.085084534E-1,3.955374756E0,-1.518143005E0,4.247931863E0
2.938193750E0,-7.304809570E-2,3.623215485E0,-2.837349701E0,4.602562308E0
2.948199750E0,-1.524280243E0,3.867806854E0,-4.678520966E0,6.258747362E0
2.958206750E0,-2.307152252E0,5.191055145E0,-6.904242554E0,8.940837225E0
2.968212750E0,-1.211430817E0,7.219487000E0,-7.986192627E0,1.083364342E1
2.978219750E0,1.336271210E0,9.515711975E0,-5.671406250E0,1.115792292E1
2.988225750E0,4.209097137E0,1.010563522E1,3.832031250E-2,1.094722935E1
2.998231750E0,7.158713379E0,8.520880737E0,7.055428162E0,1.317693638E1
3.008238750E0,9.551337891E0,6.731651459E0,1.372256378E1,1.802364956E1
3.018244750E0,1.016745667E1,6.607110443E0,2.011157776E1,2.348417858E1
