"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.474013167E0,2.399510193E-1,4.772824860E0,6.152954865E0,7.790782194E0
1.484019167E0,3.367996216E-1,4.505929871E0,6.373596039E0,7.812782120E0
1.494025167E0,3.382965088E-1,4.243226166E0,6.952741699E0,8.152302126E0
1.504031167E0,3.016227722E-1,4.129013672E0,7.786358185E0,8.818565869E0
1.514038166E0,3.109034729E-1,4.068988495E0,8.738378448E0,9.644303306E0
1.524044167E0,3.173400879E-1,3.858975220E0,8.925938416E0,9.729582266E0
1.534050167E0,2.966830444E-1,3.341201935E0,8.233179016E0,8.890269282E0
1.544056167E0,1.315763855E-1,3.498225403E0,7.621251526E0,8.386797251E0
1.554062167E0,-2.903961182E-2,3.653602295E0,6.910080414E0,7.816576255E0
1.564068167E0,-2.004331970E-1,3.665876770E0,6.381978607E0,7.362640620E0
1.574075167E0,-2.429447937E-1,3.906426544E0,6.008056183E0,7.170490193E0
1.584081167E0,-5.343887329E-2,4.151317291E0,5.492079163E0,6.884709471E0
1.594087167E0,8.382568359E-2,4.128115540E0,5.169200592E0,6.615814342E0
1.604093167E0,4.565505981E-2,3.928281097E0,5.559588776E0,6.807532895E0
1.614099167E0,-3.484753418E-1,4.049379272E0,6.594985657E0,7.746789230E0
1.624105167E0,-6.385720825E-1,4.099974060E0,7.288493500E0,8.386876599E0
1.634112167E0,-5.611830139E-1,3.977079620E0,6.711593170E0,7.821609269E0
1.644118167E0,-6.640191650E-1,4.077520752E0,5.943390656E0,7.238162019E0
1.654124167E0,-7.619155884E-1,4.419709167E0,5.213508453E0,6.877137114E0
1.664130167E0,-6.354286194E-1,5.025050354E0,4.746479645E0,6.941467396E0
1.674136167E0,-4.496649170E-1,5.379662933E0,4.937781830E0,7.316055031E0
1.684142167E0,-1.537303162E-1,5.723797302E0,5.009033661E0,7.607621625E0
1.694148167E0,-3.204835510E-1,5.931415558E0,5.362748108E0,8.002716257E0
1.704155167E0,-9.815089417E-1,5.384602661E0,5.825735321E0,7.993528486E0
1.714161167E0,-1.049317932E0,4.921166382E0,6.059249725E0,7.876131913E0
1.724167167E0,-1.410965881E0,4.788691864E0,6.377787323E0,8.099294144E0
1.734173167E0,-1.241817627E0,4.920118561E0,6.404431915E0,8.171072502E0
1.744179167E0,-6.613247681E-1,5.434299316E0,6.881489868E0,8.793398792E0
1.754185167E0,-5.764512634E-1,6.002966766E0,7.814948730E0,9.871237497E0
1.764192167E0,-5.119354248E-1,6.502178650E0,8.549471283E0,1.075331876E1
1.774198167E0,-5.879772949E-1,6.666686554E0,8.960666199E0,1.118409431E1
1.784204167E0,-7.244934082E-1,6.558611298E0,8.020770721E0,1.038619448E1
1.794210167E0,-1.179696808E0,6.734495544E0,6.688092041E0,9.564292444E0
1.804216166E0,-1.434766388E0,7.211254120E0,6.322552185E0,9.697185504E0
1.814222167E0,-1.191222839E0,7.635771332E0,6.177653503E0,9.893807078E0
1.824229167E0,-1.196461945E0,7.920030212E0,6.494843903E0,1.031219652E1
1.834235167E0,-1.426234131E0,7.444169769E0,7.210655365E0,1.046151797E1
1.844241625E0,-1.687590637E0,6.497538300E0,8.464747467E0,1.080360661E1
1.854247625E0,-1.611399078E0,5.922733612E0,9.980944519E0,1.171727929E1
1.864253625E0,-1.184486847E0,6.206244049E0,1.056323364E1,1.230863028E1
1.874259625E0,8.427474976E-2,7.155869293E0,1.119551880E1,1.328733264E1
1.884265625E0,9.719288635E-1,7.482490082E0,1.229588058E1,1.442639882E1
1.894272625E0,1.303040314E0,6.863676910E0,1.323338104E1,1.496430248E1
1.904278625E0,1.468296661E0,5.967789917E0,1.349234253E1,1.482611610E1
1.914284625E0,1.470092926E0,5.575755157E0,1.360326187E1,1.477494340E1
1.924290625E0,2.149380341E0,5.588778076E0,1.352093307E1,1.478749159E1
1.934296625E0,3.038980408E0,5.701643372E0,1.335717361E1,1.483772981E1
1.944302625E0,3.811823273E0,5.700894928E0,1.292786636E1,1.463420406E1
1.954309625E0,4.388873291E0,5.410049744E0,1.251382736E1,1.432224571E1
1.964315625E0,4.692741394E0,5.034031677E0,1.232851273E1,1.411933153E1
1.974321625E0,4.982538757E0,4.727169800E0,1.238359818E1,1.416069668E1
1.984327625E0,4.931345215E0,4.445755005E0,1.239632172E1,1.406242139E1
1.994333625E0,4.675676880E0,4.069138184E0,1.194066925E1,1.345360257E1
2.004339625E0,4.137396240E0,3.664529572E0,1.100032471E1,1.231072574E1
2.014345625E0,3.570974121E0,3.335513763E0,9.933493195E0,1.107031144E1
2.024352625E0,3.161425781E0,3.130589905E0,9.153914337E0,1.017788553E1
2.034358625E0,2.898123322E0,3.064726868E0,8.559799805E0,9.542632879E0
2.044364625E0,2.907104645E0,3.146756287E0,7.937543793E0,9.019863303E0
2.054370625E0,3.067271576E0,3.311862946E0,7.543413391E0,8.790886001E0
2.064376625E0,3.038381653E0,3.431763611E0,7.667205963E0,8.932794178E0
2.074382625E0,2.825224915E0,3.398233337E0,8.192763062E0,9.308665437E0
2.084389625E0,2.751727753E0,3.568728790E0,8.499026184E0,9.619837674E0
2.094395625E0,2.359094238E0,3.434458008E0,8.371940460E0,9.351481941E0
2.104401625E0,1.837728424E0,3.140619049E0,8.531358948E0,9.274956564E0
2.114407625E0,1.354084167E0,2.773582306E0,8.908724213E0,9.428237897E0
2.124413625E0,9.157955933E-1,2.755769348E0,9.039402466E0,9.494405890E0
2.134419625E0,6.153703308E-1,3.230132904E0,8.438402252E0,9.056438140E0
2.144425625E0,7.604187012E-1,3.700305176E0,7.043153687E0,7.992278076E0
2.154432625E0,1.062939606E0,3.979175262E0,5.725743256E0,7.053212899E0
2.164438625E0,1.232087860E0,4.113296356E0,4.956343231E0,6.557635674E0
2.174444625E0,1.395997009E0,4.205504608E0,4.778063965E0,6.516515320E0
2.184450625E0,1.547182617E0,3.911366272E0,5.084327087E0,6.598707608E0
2.194456625E0,1.091829529E0,3.406615906E0,5.375621338E0,6.457122302E0
2.204462625E0,2.460882568E-1,3.178490295E0,5.693260803E0,6.525073069E0
2.214469625E0,-3.799099731E-1,3.314707031E0,5.973029022E0,6.841687657E0
2.224475625E0,-5.607339478E-1,3.630849609E0,6.218069458E0,7.222318134E0
2.234481625E0,-4.023632813E-1,3.911665649E0,6.311924286E0,7.436626423E0
2.244487625E0,2.157014465E-1,4.093836823E0,6.144123230E0,7.386222127E0
2.254493625E0,8.698411560E-1,4.485721893E0,5.628295898E0,7.249554418E0
2.264499625E0,1.250200195E0,4.845723267E0,4.782704315E0,6.922304174E0
2.274505625E0,1.588945770E0,4.963228912E0,4.058510284E0,6.605293001E0
2.284512625E0,1.475631409E0,4.899910583E0,3.673959961E0,6.299570904E0
2.294518625E0,1.103954315E0,4.723427582E0,3.594325562E0,6.037272521E0
2.304524625E0,6.966513062E-1,4.696034546E0,3.744912415E0,6.046687729E0
